"rank","word","pronunciation","pos","cn","en"
"797","target","/ˈtɑr.gɪt/","noun","目标","a goal or amount you are trying to achieve"
"798","degree","/dɪˈgri/","noun","度数","unit for measuring temperature or angles"
"799","pull","/pʊl/","verb","拉","to hold something and move it toward you"
"800","red","/rɛd/","adj","红色的","being the color of blood"
"801","husband","/ˈhʌz.bənd/","noun","丈夫","married man"
"802","access","/ˈæk.sɛs/","noun","通道","an entrance to a place; a way in"
"803","movement","/ˈmuv.mənt/","noun","运动；移动","a change in the position of something"
"804","treat","/trit/","verb","对待","to act in a certain way toward someone"
"805","identify","/aɪˈdɛn.tɪ.faɪ/","verb","识别","to indicate who or what someone or something is"
"806","loss","/lɑs/","noun","亏损；丧失","experience or state of failing to have or keep"
"807","shall","/ʃæl/","aux","将要","expressing the future tense, to expect to happen"
"808","modern","/ˈmɑd.ərn/","adj","现代的","of the present time; up to date; contemporary"
"809","pressure","/ˈprɛʃ.ər/","noun","压力","force/weight when pressing against a thing"
"810","bus","/bʌs/","noun","公共汽车；巴士","a large road vehicle used for carrying many people"
"811","treatment","/ˈtrit.mənt/","noun","治疗；对待","way someone acts toward another"
"812","conference","/ˈkɑn.fər.əns/","noun","会议","an event where people exchange ideas"
"813","yourself","/jɔrˈsɛlf/","pron","你自己","reflexive form of 'you', used for an emphasis"
"814","supply","/səˈplaɪ/","verb","供应；供给","to give or sell goods to others for their use"
"815","village","/ˈvɪl.ɪdʒ/","noun","村庄","small town in the country"
"816","worth","/wɜrθ/","noun","值得","how much something is worth; the value of something"
"817","natural","/ˈnætʃ.ər.əl/","adj","自然的","not made by humans; without human intervention"
"818","express","/ɪkˈsprɛs/","verb","表达","to state or show what you think or how you feel"
"819","indicate","/ˈɪn.dɪˌkeɪt/","verb","表明；指出","to show something, direct attention to, or point out"
"820","attend","/əˈtɛnd/","verb","参加；出席","to be present at an event"
"821","brother","/ˈbrʌð.ər/","noun","兄弟","a boy or man who shares a parent with you"
"822","investment","/ɪnˈvɛst.mənt/","noun","投资","something purchased hoping its value will increase"
"823","score","/skɔr/","verb","得分","to get points in a sport such as kicking a ball into a goal"
"824","organize","/ˈɔr.gəˌnaɪz/","verb","组织","to arrange and plan things (e.g., a party)"
"825","trip","/trɪp/","noun","旅行","journey or visit to a place"
"826","beyond","/bɪˈjɑnd/","adv","在(或向)更远处;超...之外","on or to the farther side; in addition to"
"827","sleep","/slip/","verb","睡觉","to rest your body in bed, as at night time"
"828","fish","/fɪʃ/","noun","鱼","animal that swims and lives in the sea"
"829","promise","/ˈprɑm.ɪs/","verb","承诺；答应","to say you will certainly do something"
"830","potential","/pəˈtɛn.ʃəl/","adj","有潜力的；潜在的","capable of happening or becoming reality"
"831","energy","/ˈɛn.ər.dʒi/","noun","能源","physical or mental strength"
"832","trouble","/ˈtrʌb.əl/","noun","麻烦；困难","state of difficulty or stress"
"833","relation","/rɪˈleɪ.ʃən/","noun","关系","manner in which people, groups, or countries behave toward one another"
"834","touch","/tʌtʃ/","verb","触摸","to feel an object with your fingers, etc."
"835","file","/faɪl/","verb","文件","to submit documents to an authority (e.g., city hall)"
"836","middle","/ˈmɪd.əl/","noun","中间","place that is halfway between two things"
"837","bar","/bɑr/","verb","酒吧","to prevent entry, exit, or an action"
"838","suffer","/ˈsʌf.ər/","verb","战略","to experience pain, illness, or injury"
"839","strategy","/ˈstræt.ɪ.dʒi/","noun","战略","careful plan or method for achieving a goal"
"840","deep","/dip/","adj","深的","going far down from the surface"
"841","except","/ɪkˈsɛpt/","prep","除...之外（用于所言不包括的人或事物前）","not including; other than"
"842","clean","/klin/","adj","干净的","being free from dirt or marks because it was washed"
"843","tend","/tɛnd/","verb","倾向","to regularly behave in a certain way"
"844","advance","/ædˈvæns/","verb","前进","to move forward in a certain direction"
"845","fill","/fɪl/","verb","使充满","to make something full"
"846","star","/stɑr/","noun","星星","a bright planet of gas in the night sky"
"847","network","/ˈnɛtˌwɜrk/","noun","网状系统","system of connections"
"848","generally","/ˈdʒɛn.ər.ə.li/","adv","通常地；普遍地；一般地","usually; as a rule; by, to, or for most people"
"849","operation","/ˌɒp.əˈreɪ.ʃən/","noun","操作；运转","functioning; use"
"850","match","/mætʃ/","noun","比赛","a sports competition between two people or teams"
"851","avoid","/əˈvɔɪd/","verb","避免","to prevent from happening, or stay away from"
"852","seat","/sit/","noun","座位","something on which a person can sit"
"853","throw","/θroʊ/","verb","扔","to use your arm to make a thing fly through the air"
"854","task","/tæsk/","noun","任务","big or small piece of work someone has to do"
"855","normal","/ˈnɔr.məl/","adj","正常的；标准的","standard or regular way of doing something"
"856","goal","/goʊl/","noun","目标","something you try to do or achieve; an aim"
"857","associate","/əˈsəʊ.ʃiˌeɪt/","noun","合伙人","partner in professional work (e.g., in law)"
"858","blue","/blu/","adj","蓝色的","color of the clear sky"
"859","positive","/ˈpɑz.ɪ.tɪv/","adj","积极的；正面的","good or useful in qualities, constructive, confident"
"860","option","/ˈɑp.ʃən/","noun","选项；选择","possibility out of several that can be chosen; choice"
"861","box","/bɑks/","noun","盒子","a container with (usually) four straight sides and a lid"
"862","huge","/hjudʒ/","adj","巨大的","very very large"
"863","message","/ˈmɛs.ɪdʒ/","noun","信息","piece of information that is told/given to someone"
"864","instance","/ˈɪn.stəns/","noun","例子；实例","one of a particular group given as an example"
"865","style","/staɪl/","noun","风格；央视","the particular way something is done or made"
"866","refer","/rɪˈfɜr/","verb","提及","to talk about or write about something"
"867","cold","/koʊld/","adj","寒冷的","having a very low temperature"
"868","push","/pʊʃ/","verb","推","to force something away from you"
"869","quarter","/ˈkwɔr.tər/","noun","四分之一","one of four equal parts of something"
"870","assume","/əˈsum/","verb","假设","to believe, based on the evidence; suppose"
"871","baby","/ˈbeɪ.bi/","noun","婴儿","very young child, who cannot yet speak"
"872","successful","/səkˈsɛs.fəl/","adj","成功的","having the desired effect or result"
"873","sing","/sɪŋ/","verb","唱歌","to make musical sounds with your voice"
"874","doubt","/daʊt/","noun","疑问；不确定","not being sure of something; lack of certainty"
"875","competition","/ˌkɑm.pɪˈtɪʃ.ən/","noun","竞赛","fighting against others when trying to win something"
"876","theory","/ˈθɪə.ri/","noun","理论","idea or set of ideas that try to explain facts or events"
"877","propose","/prəˈpoʊz/","verb","提议","to offer or put forward an idea for consideration"
"878","reference","/ˈrɛf.ər.əns/","verb","引用","to cite a piece of research in speech or in writing"
"879","argument","/ˈɑr.gjə.mənt/","noun","争论","a discussion in which you disagree with another's opinion"
"880","adult","/ˈæd.ʌlt/","noun","成人","person or animal that is fully grown"
"881","fly","/flaɪ/","verb","飞","to travel through the air using wings"
"882","document","/ˈdɑk.jʊ.mənt/","noun","文档","official (printed) record that gives information"
"883","pattern","/ˈpæt.ərn/","noun","模式；图案","a series of actions or designs that can be repeated"
"884","application","/ˌæp.lɪˈkeɪ.ʃən/","noun","申请","formal request for a job, building permission, etc."
"885","hot","/hɑt/","adj","热的","having a high temperature"
"886","obviously","/ˈɑb.vɪ.əs.lɪ/","adv","明显地","in a way that is easy to see or understand"
"887","unclear","/ʌn.klɪər/","adj","不清楚的；不易了解的","not easy to understand; not obvious"
"888","bill","/bɪl/","noun","账单","a piece of paper showing what you have to pay"
"889","search","/sɜrtʃ/","verb","搜索","to carefully look for something"
"890","separate","/ˈsɛp.əˌreɪt/","verb","使分开；分割","to divide into parts, or to make something divide into parts"
"891","central","/ˈsɛn.trəl/","adj","中心的","being in the middle"
"892","career","/kəˈrɪər/","noun","职业","a particular occupation in professional life"
"893","anyway","/ˈɛn.iˌweɪ/","adv","无论如何；反正","a word people use to change the topic of a conversation"
"894","speech","/spitʃ/","noun","演讲；讲话","expression of ideas or opinions"
"895","dog","/dɔg/","noun","狗","a small 4-legged animal that barks kept as a pet"
"896","officer","/ˈɔ.fə.sər/","noun","官员","a person with an important position in an organization"
"897","throughout","/θruˈaʊt/","prep","始终","over or across an entire thing or place, or in every part of something"
"898","oil","/ɔɪl/","noun","石油","thick, black liquid in the ground used as fuel"
"899","dress","/drɛs/","noun","连衣裙","to put clothes on; (n) clothing that covers the upper part of the body down to the legs"
"900","profit","/ˈprɑf.ɪt/","verb","利润","to earn money from something"
"901","guess","/gɛs/","verb","猜测","to give an answer without knowing if it is correct"
"902","fun","/fʌn/","adj","有趣的；享乐的","amusing and enjoyable"
"903","protect","/prəˈtɛkt/","verb","保护","to defend someone or something from harm or danger"
"904","resource","/rɪˈsɔrs/","noun","资源","essential supply of something"
"905","science","/ˈsaɪ.əns/","noun","科学","knowledge of the physical world based on facts"
"906","disease","/dɪˈziz/","noun","疾病","illness that affects a person, animal, or plant"
"907","balance","/ˈbæl.əns/","verb","保持平衡","to make two or more things equal"
"908","damage","/ˈdæm.ɪdʒ/","noun","（有形的）损坏","physical harm that is done to something"
"909","basis","/ˈbeɪ.sɪs/","noun","基准；基础","starting situation, fact, idea to develop from"
"910","author","/ˈɔ.θər/","noun","作者","person who writes books, plays, poems, etc."
"911","basic","/ˈbeɪ.sɪk/","adj","基础的；初级的","at the most important or easiest (beginner) level"
"912","encourage","/ɛnˈkɜr.ɪdʒ/","verb","鼓励","to make someone more determined or confident"
"913","hair","/hɛər/","noun","头发","long thin strands on your head or body"
"914","male","/meɪl/","adj","男性的","characteristic of boys or men"
"915","operate","/ˈɑp.əˌreɪt/","verb","操作;运转","to be working or being used"
"916","reflect","/rɪˈflɛkt/","verb","反射（声，光等）","to bounce back off a surface (e.g., light)"
"917","exercise","/ˈɛk.sərˌsaɪz/","noun","锻炼","to work out to become stronger and healthier"
"918","useful","/ˈjus.fəl/","adj","有用的","that can help with a particular task"
"919","restaurant","/ˈrɛs.təˌrɑnt/","noun","餐馆","place where you can order, buy and eat a meal"
"920","income","/ˈɪn.kʌm/","noun","收入","earned money from work, investments, or business"
"921","property","/ˈprɑp.ər.ti/","noun","财产","things, buildings, or pieces of land owned by someone"
"922","previous","/ˈpri.vi.əs/","adj","上一次的；以前的","existing or happening before the present time"
"923","dark","/dɑrk/","adj","黑暗的；深色的","having little or no light; not light in color"
"924","imagine","/ɪˈmædʒ.ɪn/","verb","想象","to think creatively about; form a mental picture of"
"925","okay","/ˈoʊˈkeɪ/","intj","好的","yes; alright"
"926","earn","/ɜrn/","verb","赚","to get money for work"
"927","daughter","/ˈdɔ.tər/","noun","女儿","a female child of someone"
"928","post","/poʊst/","verb","邮寄","to send a letter or package using the post office"
"929","newspaper","/ˈnuzˌpeɪ.pər/","noun","报纸","sheets of paper (or online) containing news stories"
"930","define","/dɪˈfaɪn/","verb","下定义","to explain the meaning of words"
"931","conclusion","/kənˈklu.ʒən/","noun","结论","judgment or opinion after thinking for a while"
"932","clock","/klɒk/","noun","钟","a device that shows the time"
"933","everybody","/ˈɛv.riˌbɑ.di/","pron","每个人；大家","every person; everyone"
"934","weekend","/ˈwikˌɛnd/","noun","周末","Saturday and Sunday"
"935","perform","/pərˈfɔrm/","verb","表演","to carry out an action well or successfully"
"936","professional","/prəˈfɛʃ.ə.nl/","adj","职业的；专业的","about a job such as a doctor, lawyer, accountant, etc."
"937","mine","/maɪn/","pron","我的","that thing that belongs to me"
"938","debate","/dɪˈbeɪt/","noun","辩论","general public discussion of a topic"
"939","memory","/ˈmɛm.ə.ri/","noun","记忆","something that has been remembered"
"940","green","/grin/","noun","绿色","color of young leaves"
"941","song","/sɔŋ/","noun","歌曲","some music with words in verse"
"942","object","/əbˈdʒɛkt/","verb","反对","to disagree; to protest against an idea or plan"
"943","maintain","/meɪnˈteɪn/","verb","维持；保持","to keep, exist or continue without changing"
"944","credit","/ˈkrɛd.ɪt/","noun","信用","system to buy something and pay for it later"
"945","ring","/rɪŋ/","noun","环状物；铃声","a thing that roughly forms a circle, usually around something; the sound of a bell"
"946","discover","/dɪˈskʌv.ər/","verb","发现","to find something new that was not known before"
"947","dead","/dɛd/","adj","死的","not alive"
"948","afternoon","/ˌæf.tərˈnun/","noun","下午","time after 12:00 and before the evening meal"
"949","prefer","/prɪˈfɜr/","verb","更喜欢","to like something better than something else"
"950","extend","/ɪkˈstɛnd/","verb","延长","to straighten or stretch something out (e.g., your leg)"
"951","possibility","/ˌpɑs.əˈbɪl.ɪ.ti/","noun","可能性","something with a chance of happening or being true"
"952","direction","/dɪˈrɛk.ʃən/","noun","方向","describes the way you are going (e.g., north)"
"953","facility","/fəˈsɪl.ɪ.ti/","noun","设施","piece of equipment or buildings with a special use"
"954","variety","/vəˈraɪ.ɪ.ti/","noun","多样性","particular types of things or persons"
"955","daily","/ˈdeɪ.li/","adv","日常的","happening every day"
"956","clothes","/kloʊðz/","noun","衣服","things you wear on your body (e.g., shirt, dress, tie)"
"957","screen","/skrin/","noun","荧幕","flat surface on a computer, or tv that shows images"
"958","track","/træk/","verb","跟踪","to follow behind someone to see what they are doing"
"959","dance","/dæns/","verb","舞蹈","to move your body rhythmically to music"
"960","completely","/kəmˈplit.li/","adv","完全地","in every way or as much as possible"
"961","female","/ˈfi.meɪl/","adj","女性","person of the sex that gives birth to babies"
"962","responsibility","/rɪˌspɑn.səˈbɪl.ɪ.ti/","noun","责任","state of being dependable or reliable"
"963","original","/əˈrɪdʒ.ə.nl/","adj","起初的；原来的","being first made, thought, or performed; fresh"
"964","sister","/ˈsɪs.tər/","noun","姐妹","female you share a parent with"
"965","rock","/rɑk/","noun","岩石","big stone; hard, solid substance forming mountains"
"966","dream","/drim/","noun","梦","images, thoughts, and feelings that are experienced during sleep"
"967","nor","/nɔr/","conj","也不；也没有","used to show two things that are both untrue or do not happen"
"968","university","/ˌju.nəˈvɜr.sɪ.ti/","noun","大学","high-level educational institution; college"
"969","easily","/ˈi.zə.li/","adv","容易地","without difficulty"
"970","agency","/ˈeɪ.dʒən.si/","noun","代理","business that provides some service for others"
"971","dollar","/ˈdɑ.lər/","noun","美元","a basic unit of money equal to 100 cent"
"972","garden","/ˈgɑr.dn/","noun","花园","yard; ground outside your house to grow plants"
"973","fix","/fɪks/","verb","固定","to make something whole or able to work again"
"974","ahead","/əˈhɛd/","adv","在前面；朝前面","in or toward the front"
"975","cross","/krɑs/","verb","交叉","to meet at one point"
"976","yeah","/jɛə/","intj","是的","yes (informal)"
"977","candidate","/ˈkæn.dɪ.deɪt/","noun","候选人","a person being considered for a job or position in office"
"978","weight","/weɪt/","noun","重量","how heavy something is"
"979","legal","/ˈli.gəl/","adj","合法的;法律的","concerning the law; allowed by law"
"980","proposal","/prəˈpoʊ.zəl/","noun","提议","offer or plan to people who can decide about it"
"981","version","/ˈvɜr.ʒən/","noun","版本","particular form of something and other forms"
"982","conversation","/ˌkɑn.vərˈseɪ.ʃən/","noun","会话；交谈","when you talk with other people; discussion or chat"
"983","somebody","/ˈsʌmˌbə.di/","pron","某人","person who is not known or named"
"984","pound","/paʊnd/","noun","磅","unit of weight equal to 16 ounces or 0.4536 kg"
"985","magazine","/ˌmæg.əˈzin/","noun","杂志","weekly or monthly publication with pictures and stories"
"986","shape","/ʃeɪp/","noun","形状","outer form of something, what it looks like"
"987","sea","/si/","noun","海洋","place with a large amount of salt water"
"988","immediately","/ɪˈmi.di.ɪt.li/","adv","立即地","without any delay; straight away; right (after or before)"
"989","welcome","/ˈwɛl.kəm/","noun","欢迎","friendly greeting to someone who has arrived"
"990","smile","/smaɪl/","verb","微笑","to show happiness by pulling up the corners of your mouth"
"991","communication","/kəˌmju.nɪˈkeɪ.ʃən/","noun","交流；通信","talking to people; giving information to people"
"992","agent","/ˈeɪ.dʒənt/","noun","代理人","person who can represent and decide for others"
"993","traditional","/trəˈdɪʃ.ə.nəl/","adj","传统的","involved in a tradition"
"994","replace","/rɪˈpleɪs/","verb","代替","to use instead of something else"
"995","judge","/dʒʌdʒ/","verb","审判；裁决","to form an opinion after careful consideration"
"996","herself","/hərˈsɛlf/","pron","她自己","female person that did the original action"
"997","suddenly","/ˈsʌdənlɪ/","adv","突然地","in an unexpected or very quick manner"
"998","generation","/ˌdʒɛn.əˈreɪ.ʃən/","noun","一代人","people born and living at about the same time"
"999","estimate","/ˈɛs.tə.mɪt/","noun","估计；估价","guess or calculation of cost, size, or value"
"1000","favorite","/ˈfeɪv.rɪt/","adj","最喜欢的","most liked; best loved"
"1001","difficulty","/ˈdɪf.ɪˌkʌl.ti/","noun","困难","something that is hard to do"
"1002","purchase","/ˈpɜr.tʃəs/","verb","购买","to buy something; to get by paying money for it"
"1003","shoot","/ʃut/","verb","射击","to kick or throw a ball at a goal"
"1004","announce","/əˈnaʊns/","verb","宣布","to make a public statement about a plan, decision"
"1005","unless","/ʌnˈlɛs, ən-/","conj","除非","negative of 'if'"
"1006","independent","/ˌɪn.dɪˈpɛn.dənt/","adj","独立的","making your own decisions; not controlled by others"
"1007","recommend","/ˌrɛk.əˈmɛnd/","verb","推荐","to say something is good and deserves to be chosen"
"1008","survey","/sərˈveɪ/","verb","民意调查","to ask people a question about a particular topic"
"1009","majority","/məˈdʒɑr.ɪ.ti/","noun","多数","amount that is more than half of a group"
"1010","stick","/stɪk/","noun","枝条；棍","long thin piece of wood from a tree"
"1011","request","/rɪˈkwɛst/","verb","要求","to ask for something"
"1012","rich","/rɪtʃ/","adj","富有的；富饶的","having a lot of money, possessions, or resources"
"1013","wind","/wɪnd/","noun","风","natural movement of outside air as part of the weather"
"1014","none","/nʌn/","pron","没有一个；毫无","not one of a group; not at all or in no way"
"1015","exchange","/ɪksˈtʃeɪndʒ/","verb","交换","to give things of similar value to each other"
"1016","budget","/ˈbʌdʒ.ɪt/","noun","预算","amount of money planned to be spent on something"
"1017","famous","/ˈfeɪ.məs/","adj","著名的；出名的","widely known; recognized by many people"
"1018","blood","/blʌd/","noun","血液","red liquid in the bodies of people and animals"
"1019","appropriate","/əˈprəʊ.pri.ɪt/","adj","适当的","right or suitable for some situation or purpose"
"1020","block","/blɑk/","verb","阻塞","to stop from going forward or making progress"
"1021","warm","/wɔrm/","adj","暖和的","slightly hot; not very hot"
"1022","count","/kaʊnt/","verb","数数","to add things together to find the total number"
"1023","scene","/sin/","noun","场景","part of an act in a play"
"1024","writer","/ˈraɪ.tər/","noun","作者","professional who writes books, articles, etc."
"1025","content","/ˈkɑn.tɛnt/","noun","内容","information in something (e.g., a book or computer program)"
"1026","prevent","/prɪˈvɛnt/","verb","阻止","to stop something from happening or existing"
"1027","safe","/seɪf/","adj","安全的","being out of danger"
"1028","invite","/ɪnˈvaɪt/","verb","邀请","to ask someone to go somewhere or do something"
"1029","mix","/mɪks/","verb","混合","to combine two or more things to make one"
"1030","element","/ˈɛl.ə.mənt/","noun","要素；元素","essential or particular part of something"
"1031","effective","/ɪˈfɛk.tɪv/","adj","有效的","working efficiently to produce a desired result"
"1032","correct","/kəˈrɛkt/","adj","正确的","true or accurate"
"1033","medical","/ˈmɛd.ɪ.kəl/","adj","医疗的","of or relating to physical health or medicine"
"1034","admit","/ədˈmɪt/","verb","承认","to agree that you did something bad, or that something bad is true"
"1035","beat","/bit/","verb","击败","to win against another person or team; defeat"
"1036","telephone","/ˈtɛl.əˌfoʊn/","noun","电话机","machine used to talk to someone who is far away"
"1037","copy","/ˈkɑp.i/","verb","复制","to make something that looks the same as the original"
"1038","committee","/kəˈmɪt.i/","noun","委员会","group of people who do or decide something"
"1039","aware","/əˈwɛər/","adj","意识到的","knowing or feeling that something exists"
"1040","advice","/ædˈvaɪs/","noun","建议","suggestion about what someone should do"
"1041","handle","/ˈhæn.dl/","verb","处理","to have the ability to cope with or take responsibility for"
"1042","glass","/glæs/","noun","玻璃","hard transparent material used for making windows"
"1043","trial","/ˈtraɪəl/","noun","试验；审讯","an event to determine the quality of something or someone"
"1044","stress","/strɛs/","verb","强调；使紧张","to be in a state of mental tension due to problems"
"1045","radio","/ˈreɪ.diˌoʊ/","noun","无线电","system for sending and receiving signals through the air"
"1046","administration","/ædˌmɪn.əˈstreɪ.ʃən/","noun","管理；行政","the work of running something (e.g., a business)"
"1047","complex","/ˈkɑm.plɛks/","adj","复杂的","difficult, not easy to understand or explain"
"1048","text","/tɛkst/","noun","正文；文档","written part of a book or other work"
"1049","context","/ˈkɑn.tɛkst/","noun","上下文；语境","set of facts surrounding a person or event"
"1050","ride","/raɪd/","verb","骑","to sit on and control a horse or vehicle"
"1051","directly","/dɪˈrɛkt.li/","adv","直接地","in a frank and honest way"
"1052","heavy","/ˈhɛv.i/","adj","重的","having a lot of weight"
"1053","remove","/rɪˈmuv/","verb","去除","to move, erase or take away from a place"
"1054","conduct","/kənˈdʌkt/","verb","实施；引导；指挥","to direct, lead or guide something"
"1055","equipment","/ɪˈkwɪp.mənt/","noun","设备","tools or materials used to perform a task"
"1056","otherwise","/ˈʌð.ərˌwaɪz/","adv","否则；不然","indicates that there will be a bad result if something is done, not done, or done improperly"
"1057","title","/ˈtaɪ.təl/","noun","主题","name given to something to identify or describe it"
"1058","extra","/ˈɛk.strə/","adj","额外的","more than necessary; additional"
"1059","executive","/ɪgˈzɛk.jə.tɪv/","noun","行政人员","a senior manager in a business or organization"
"1060","chair","/tʃɛər/","noun","椅子","a piece of furniture you sit on when sitting at a table or desk"
"1061","expensive","/ɪkˈspɛn.sɪv/","adj","昂贵的","costing a lot of money"
"1062","sample","/ˈsæm.pəl/","verb","样品","to try something to see if you like it (e.g., food)"
"1063","sex","/sɛks/","noun","性别","state of being male or female mostly biological"
"1064","deliver","/dɪˈlɪv.ər/","verb","传送","to take something to a person or place"
"1065","video","/ˈvɪd.iˌoʊ/","noun","视频；录像","recording capturing action with sound"
"1066","connection","/kəˈnɛk.ʃən/","noun","连接；关联","something that joins things together; being joined"
"1067","primary","/ˈpraɪ.mɛr.i/","adj","主要的；初级的；基本的","most important, most basic or essential"
"1068","weather","/ˈwɛð.ər/","noun","天气","whether it is raining, sunny, cold, etc., outside"
"1069","collect","/kəˈlɛkt/","verb","收集","to gather things/people together in one place"
"1070","inform","/ɪnˈfɔrm/","verb","通知","to give information or facts about something"
"1071","principle","/ˈprɪn.sə.pəl/","noun","原则","strong belief that influences a person's actions; basic law or belief"
"1072","straight","/streɪt/","adj","直的","not having curves, bends, or angles"
"1073","appeal","/əˈpil/","verb","上诉;申诉","to request a judge or others change a decision"
"1074","highly","/ˈhaɪ.li/","adv","高度地；非常","more than usual; to a great degree"
"1075","trust","/trʌst/","verb","信任","to be confident that someone is honest and reliable"
"1076","wonderful","/ˈwʌn.dər.fəl/","adj","精彩的","producing feelings of enjoyment or delight"
"1077","flat","/flæt/","adj","平坦的","level; even; without curves or bumps"
"1078","absolutely","/ˌæb.səˈlut.li/","adv","绝对地","completely; totally; very"
"1079","flow","/floʊ/","verb","流动","to move steadily and easily in a certain direction"
"1080","fair","/fɛər/","adj","公平的","treating all people the same way"
"1081","additional","/əˈdɪʃ.ə.nl/","adj","附加的","further or added"
"1082","responsible","/rɪˈspɑn.sə.bəl/","adj","负责的","having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner"
"1083","farm","/fɑrm/","noun","农场","land used for growing crops or raising animals"
"1084","collection","/kəˈlɛk.ʃən/","noun","收藏","group of similar things gathered as a hobby"
"1085","hang","/hæŋ/","verb","悬挂","to attach a picture, photograph, etc., onto a wall"
"1086","negative","/ˈnɛg.ə.tɪv/","adj","消极的;负面的","being harmful, unwanted, or unhelpful"
"1087","band","/bænd/","noun","乐队","group of people who work together (e.g., play music)"
"1088","relative","/ˈrɛl.ə.tɪv/","noun","相对的","measured or considered in comparison to something else"
"1089","tour","/tʊər/","noun","游览","a journey to visit several places for pleasure"
"1090","alternative","/ɔlˈtɜr.nə.tɪv/","noun","可替代的选择","other choices"
"1091","software","/ˈsɔftˌwɛər/","noun","软件","market for software is expected to expand"
"1092","pair","/pɛər/","noun","一对；一双","two of the same thing (e.g., socks)"
"1093","ship","/ʃɪp/","noun","(大)船","large boat"
"1094","attitude","/ˈæt.ɪˌtud/","noun","态度","way you act, think, and feel about something"
"1095","cheap","/tʃip/","adj","便宜的","not costing a lot of money"
"1096","double","/ˈdʌb.əl/","prep","双倍的","two times the amount or degree; twice"
"1097","leg","/lɛg/","noun","腿","part of the body from the thigh down"
"1098","observe","/əbˈzɜrv/","verb","观察","to watch carefully; to make a comment"
"1099","sentence","/ˈsɛn.təns/","noun","句子","set of spoken or written words that make a whole statement"
"1100","print","/prɪnt/","verb","打印","to make many copies of a page, magazine, or book"
"1101","progress","/prəˈgrɛs/","verb","进步；进展","to move forward or toward a place or goal"
"1102","truth","/truθ/","noun","真相","real facts about something"
"1103","nobody","/ˈnoʊˌbɑd.i/","pron","没有人；谁也不","no person; no one; not any person"
"1104","examine","/ɪgˈzæm.ɪn/","verb","检查","to look at someone or something very carefully in order to learn more"
"1105","lay","/leɪ/","verb","放置","to put or set something down in a flat position"
"1106","speed","/spid/","noun","速度","quality of being fast or quick"
"1107","politics","/ˈpɒl.ɪ.tɪks/","noun","政治","activities influencing the policies of a government"
"1108","reply","/rɪˈplaɪ/","noun","回复","answer someone's question"
"1109","display","/dɪˈspleɪ/","verb","展示;陈列","to put so they can be seen or be bought"
"1110","transfer","/ˈtræns.fər/","verb","转移","to move something from one place to another"
"1111","perfect","/ˈpɜr.fɪkt/","adj","完美的","so good it/they cannot be improved"
"1112","slightly","/ˈslaɪtlɪ/","adv","轻微的","concerning a small quantity or degree"
"1113","overall","/ˈoʊ.vərˌɔl/","adj","全面的；总体的","viewed as a whole; in general, not as details"
"1114","intend","/ɪnˈtɛnd/","verb","打算","to plan or want to do something"
"1115","user","/ˈju.zər/","noun","用户","person that uses a service or thing (e.g., a website)"
"1116","respond","/rɪˈspɑnd/","verb","回应","to say or write to answer the question"
"1117","dinner","/ˈdɪn.ər/","noun","晚餐","main meal of the day, usually in the evening in the us"
"1118","slow","/sloʊ/","adj","缓慢的","moving or happening without speed; not fast"
"1119","regular","/ˈrɛg.jə.lər/","adj","定期的；有规律的","occurring or being done frequently"
"1120","physical","/ˈfɪz.ɪ.kəl/","adj","身体的","concerning the body of a person"
"1121","apart","/əˈpɑrt/","adv","分开地","separated by an amount of time or space"
"1122","suit","/sut/","verb","适合","to be appropriate for a given situation"
"1123","federal","/ˈfɛd.ər.əl/","adj","联邦的","system of government"
"1124","reveal","/rɪˈvil/","verb","揭露","to make known, to show or prove"
"1125","percentage","/pərˈsɛn.tɪdʒ/","noun","百分比","part of a whole divided into hundredths"
"1126","peace","/pis/","noun","和平","time when there is no war or fighting"
"1127","status","/ˈsteɪ.təs/","noun","地位","position or rank relative to others in a society"
"1128","crime","/kraɪm/","noun","罪行","act that is against the law; murder, theft, etc."
"1129","decline","/dɪˈklaɪn/","verb","谢绝","to not accept an invitation or offer; refuse"
"1130","decade","/ˈdɛk.eɪd/","noun","十年","period of 10 years"
"1131","launch","/lɑntʃ/","verb","发射","to put a rocket into the air; put a ship into the water"
"1132","warn","/wɔrn/","verb","警告","to tell someone about possible danger"
"1133","consumer","/kənˈsu.mər/","noun","消费者","person who uses goods or services; individual buyer"
"1134","favor","/ˈfeɪ.vər/","noun","善意行为","helpful act of kindness"
"1135","dry","/draɪ/","adj","干的","without water; not wet"
"1136","partner","/ˈpɑrt.nər/","noun","合伙人","someone you have a business or personal relationship with"
"1137","institution","/ˌɪn.stɪˈtu.ʃən/","noun","机构","organization created for a particular cause or purpose"
"1138","spot","/spɑt/","noun","地点","a particular area that is different from the area around it; (v) to see someone or something"
"1139","horse","/hɔrs/","noun","马","large animal with 4 legs used for riding"
"1140","eventually","/ɪˈvɛn.tʃu.ə.li/","adv","最终","finally"
"1141","heat","/hit/","verb","加热","to make hot or hotter"
"1142","excite","/ɪkˈsaɪt/","verb","使兴奋","to make someone feel happy, interested, or eager"
"1143","reader","/ˈri.dər/","noun","读者","person who reads written or printed materials"
"1144","importance","/ɪmˈpɔr.tns/","noun","重要性","being important; having a big effect on"
